source,target
"('ignite', 'verb', 0)","(' fuel', 'role', 0)"
"('ignite', 'verb', 0)","('fuel to ignite', 'role', 0)"
"(' fuel', 'role', 0)","('fuel', 'noun')"
"('cause', 'verb', 0)","(' A spark', 'role', 0)"
"('cause', 'verb', 0)","('can', 'role', 0)"
"('cause', 'verb', 0)","('', 'role', 0)"
"('cause', 'verb', 0)","('fuel to ignite', 'role', 0)"
"(' A spark', 'role', 0)","('spark', 'noun')"
"('create', 'verb', 1)","(' water vapour', 'role', 1)"
"('create', 'verb', 1)","('', 'role', 1)"
"('create', 'verb', 1)","('droplets', 'role', 1)"
"('create', 'verb', 1)","('water vapour to create droplets', 'role', 1)"
"(' water vapour', 'role', 1)","('water', 'noun')"
"(' water vapour', 'role', 1)","('vapour', 'noun')"
"('', 'role', 1)","('cause', 'verb', 1)"
"('droplets', 'role', 1)","('droplet', 'noun')"
"('cause', 'verb', 1)","(' Low temperature and high altitudes', 'role', 1)"
"('cause', 'verb', 1)","('water vapour to create droplets', 'role', 1)"
"(' Low temperature and high altitudes', 'role', 1)","('altitude', 'noun')"
"(' Low temperature and high altitudes', 'role', 1)","('temperature', 'noun')"
