source,target,label
price,inflation,risk
price,cost,risk
price,supply,risk
price,money,risk
price,increase,risk
price,bank,risk
price,level,risk
price,service,risk
price,good,risk
price,factor,risk
price,purchasing,risk
price,amount,risk
price,production,risk
price,business,risk
price,interest,risk
price,rate,risk
price,consumer,risk
price,decrease,risk
price,power,risk
price,government,risk
inflation,price,risk
inflation,cost,risk
inflation,business,risk
inflation,factor,risk
inflation,service,risk
inflation,good,risk
inflation,production,risk
inflation,bank,risk
inflation,supply,risk
inflation,money,risk
inflation,increase,risk
inflation,purchasing,risk
inflation,amount,risk
inflation,interest,risk
inflation,consumer,risk
inflation,decrease,risk
inflation,power,risk
inflation,government,risk
inflation,level,risk
demand,price,risk
demand,inflation,risk
demand,cost,risk
demand,supply,risk
demand,money,risk
demand,increase,risk
demand,bank,risk
demand,level,risk
demand,business,risk
demand,factor,risk
demand,service,risk
demand,good,risk
demand,production,risk
demand,purchasing,risk
demand,amount,risk
demand,interest,risk
demand,rate,risk
demand,consumer,risk
demand,decrease,risk
demand,power,risk
demand,government,risk
cost,price,risk
cost,demand,risk
cost,inflation,risk
cost,supply,risk
cost,money,risk
cost,increase,risk
cost,bank,risk
cost,level,risk
cost,business,risk
cost,factor,risk
cost,service,risk
cost,good,risk
cost,production,risk
cost,interest,risk
cost,rate,risk
cost,consumer,risk
cost,power,risk
cost,amount,risk
cost,government,risk
supply,price,risk
supply,demand,risk
supply,cost,risk
supply,inflation,risk
supply,money,risk
supply,increase,risk
supply,bank,risk
supply,level,risk
supply,business,risk
supply,factor,risk
supply,service,risk
supply,good,risk
supply,production,risk
supply,purchasing,risk
supply,amount,risk
supply,interest,risk
supply,decrease,risk
supply,power,risk
supply,consumer,risk
supply,government,risk
money,price,risk
money,demand,risk
money,cost,risk
money,supply,risk
money,inflation,risk
money,increase,risk
money,bank,risk
money,level,risk
money,business,risk
money,factor,risk
money,service,risk
money,good,risk
money,production,risk
money,purchasing,risk
money,interest,risk
money,consumer,risk
money,decrease,risk
money,government,risk
business,price,risk
business,demand,risk
business,cost,risk
business,supply,risk
business,money,risk
business,increase,risk
business,bank,risk
business,level,risk
business,inflation,risk
business,factor,risk
business,service,risk
business,good,risk
business,production,risk
business,purchasing,risk
business,amount,risk
business,interest,risk
business,rate,risk
business,consumer,risk
business,decrease,risk
business,power,risk
business,government,risk
increase,price,risk
increase,demand,risk
increase,cost,risk
increase,supply,risk
increase,money,risk
increase,inflation,risk
increase,bank,risk
increase,level,risk
increase,business,risk
increase,factor,risk
increase,service,risk
increase,good,risk
increase,production,risk
increase,purchasing,risk
increase,amount,risk
increase,interest,risk
increase,rate,risk
increase,consumer,risk
increase,decrease,risk
increase,power,risk
increase,government,risk
government,price,risk
government,demand,risk
government,cost,risk
government,supply,risk
government,money,risk
government,increase,risk
government,bank,risk
government,inflation,risk
government,business,risk
government,factor,risk
government,service,risk
government,good,risk
government,production,risk
government,purchasing,risk
government,amount,risk
government,interest,risk
government,rate,risk
government,consumer,risk
government,decrease,risk
government,power,risk
factor,price,risk
factor,demand,risk
factor,cost,risk
factor,supply,risk
factor,money,risk
factor,increase,risk
factor,bank,risk
factor,level,risk
factor,inflation,risk
factor,business,risk
factor,service,risk
factor,good,risk
factor,purchasing,risk
factor,amount,risk
factor,interest,risk
factor,rate,risk
factor,consumer,risk
factor,decrease,risk
factor,power,risk
factor,government,risk
interest,price,risk
interest,demand,risk
interest,cost,risk
interest,supply,risk
interest,money,risk
interest,increase,risk
interest,bank,risk
interest,level,risk
interest,inflation,risk
interest,business,risk
interest,factor,risk
interest,service,risk
interest,good,risk
interest,production,risk
interest,purchasing,risk
interest,amount,risk
interest,consumer,risk
interest,decrease,risk
interest,power,risk
interest,government,risk
rate,price,risk
rate,demand,risk
rate,cost,risk
rate,supply,risk
rate,money,risk
rate,increase,risk
rate,bank,risk
rate,level,risk
rate,inflation,risk
rate,business,risk
rate,factor,risk
rate,service,risk
rate,good,risk
rate,production,risk
rate,purchasing,risk
rate,amount,risk
rate,consumer,risk
rate,decrease,risk
rate,power,risk
rate,government,risk
service,price,risk
service,cost,risk
service,supply,risk
service,money,risk
service,increase,risk
service,bank,risk
service,level,risk
service,inflation,risk
service,business,risk
service,factor,risk
service,good,risk
service,production,risk
service,amount,risk
service,interest,risk
service,rate,risk
service,consumer,risk
service,government,risk
good,price,risk
good,cost,risk
good,supply,risk
good,money,risk
good,increase,risk
good,bank,risk
good,level,risk
good,inflation,risk
good,business,risk
good,factor,risk
good,service,risk
good,production,risk
good,amount,risk
good,interest,risk
good,rate,risk
good,consumer,risk
good,government,risk
consumer,price,risk
consumer,demand,risk
consumer,cost,risk
consumer,supply,risk
consumer,money,risk
consumer,increase,risk
consumer,bank,risk
consumer,level,risk
consumer,inflation,risk
consumer,business,risk
consumer,factor,risk
consumer,service,risk
consumer,good,risk
consumer,production,risk
consumer,purchasing,risk
consumer,interest,risk
consumer,rate,risk
consumer,decrease,risk
consumer,power,risk
consumer,government,risk
purchasing,price,risk
purchasing,demand,risk
purchasing,cost,risk
purchasing,supply,risk
purchasing,money,risk
purchasing,increase,risk
purchasing,bank,risk
purchasing,level,risk
purchasing,inflation,risk
purchasing,business,risk
purchasing,factor,risk
purchasing,service,risk
purchasing,good,risk
purchasing,production,risk
purchasing,amount,risk
purchasing,interest,risk
purchasing,rate,risk
purchasing,consumer,risk
purchasing,decrease,risk
purchasing,power,risk
purchasing,government,risk
decrease,price,risk
decrease,demand,risk
decrease,cost,risk
decrease,supply,risk
decrease,money,risk
decrease,increase,risk
decrease,bank,risk
decrease,level,risk
decrease,inflation,risk
decrease,business,risk
decrease,factor,risk
decrease,service,risk
decrease,good,risk
