source,target,label
intestine,liver,risk
intestine,bile,risk
intestine,digestion,risk
intestine,absorption,risk
intestine,vitamin,risk
intestine,fat,risk
intestine,cholesterol,risk
intestine,blood,risk
intestine,excretion,risk
intestine,waste,risk
intestine,body,risk
intestine,role,risk
intestine,clotting,risk
intestine,pressure,risk
intestine,volume,risk
intestine,fibrinogen,risk
intestine,vii,risk
intestine,prothrombin,risk
intestine,ix,risk
intestine,factor,risk
intestine,glycogen,risk
intestine,storage,risk
intestine,bloodstream,risk
intestine,glucose,risk
intestine,insulin,risk
intestine,igf,risk
intestine,growth,risk
intestine,period,risk
intestine,sugar,risk
digestion,liver,risk
digestion,bile,risk
digestion,intestine,risk
digestion,absorption,risk
digestion,vitamin,risk
digestion,fat,risk
digestion,cholesterol,risk
digestion,blood,risk
digestion,excretion,risk
digestion,waste,risk
digestion,body,risk
digestion,role,risk
digestion,clotting,risk
digestion,pressure,risk
digestion,volume,risk
digestion,fibrinogen,risk
digestion,vii,risk
digestion,prothrombin,risk
digestion,ix,risk
digestion,factor,risk
digestion,glycogen,risk
digestion,storage,risk
digestion,bloodstream,risk
digestion,glucose,risk
digestion,insulin,risk
digestion,igf,risk
digestion,growth,risk
digestion,period,risk
digestion,sugar,risk
absorption,liver,risk
absorption,bile,risk
absorption,intestine,risk
absorption,digestion,risk
absorption,vitamin,risk
absorption,fat,risk
absorption,cholesterol,risk
absorption,blood,risk
absorption,excretion,risk
absorption,waste,risk
absorption,body,risk
absorption,role,risk
absorption,clotting,risk
absorption,pressure,risk
absorption,volume,risk
absorption,fibrinogen,risk
absorption,vii,risk
absorption,prothrombin,risk
absorption,ix,risk
absorption,factor,risk
absorption,glycogen,risk
absorption,storage,risk
absorption,bloodstream,risk
absorption,glucose,risk
absorption,insulin,risk
absorption,igf,risk
absorption,growth,risk
absorption,period,risk
absorption,sugar,risk
vitamin,liver,risk
vitamin,bile,risk
vitamin,intestine,risk
vitamin,digestion,risk
vitamin,absorption,risk
vitamin,fat,risk
vitamin,cholesterol,risk
vitamin,blood,risk
vitamin,excretion,risk
vitamin,waste,risk
vitamin,body,risk
vitamin,role,risk
vitamin,clotting,risk
vitamin,pressure,risk
vitamin,volume,risk
vitamin,fibrinogen,risk
vitamin,vii,risk
vitamin,prothrombin,risk
vitamin,ix,risk
vitamin,factor,risk
vitamin,glycogen,risk
vitamin,storage,risk
vitamin,bloodstream,risk
vitamin,glucose,risk
vitamin,insulin,risk
vitamin,igf,risk
vitamin,growth,risk
vitamin,period,risk
vitamin,sugar,risk
fat,liver,risk
fat,bile,risk
fat,intestine,risk
fat,digestion,risk
fat,absorption,risk
fat,vitamin,risk
fat,cholesterol,risk
fat,blood,risk
fat,excretion,risk
fat,waste,risk
fat,body,risk
fat,role,risk
fat,clotting,risk
fat,pressure,risk
fat,volume,risk
fat,fibrinogen,risk
fat,vii,risk
fat,prothrombin,risk
fat,ix,risk
fat,factor,risk
fat,glycogen,risk
fat,storage,risk
fat,bloodstream,risk
fat,glucose,risk
fat,insulin,risk
fat,igf,risk
fat,growth,risk
fat,period,risk
fat,sugar,risk
cholesterol,liver,risk
cholesterol,bile,risk
cholesterol,intestine,risk
cholesterol,digestion,risk
cholesterol,absorption,risk
cholesterol,vitamin,risk
cholesterol,fat,risk
cholesterol,blood,risk
cholesterol,excretion,risk
cholesterol,waste,risk
cholesterol,body,risk
cholesterol,role,risk
cholesterol,clotting,risk
cholesterol,pressure,risk
cholesterol,volume,risk
cholesterol,fibrinogen,risk
cholesterol,vii,risk
cholesterol,prothrombin,risk
cholesterol,ix,risk
cholesterol,factor,risk
cholesterol,glycogen,risk
cholesterol,storage,risk
cholesterol,bloodstream,risk
cholesterol,glucose,risk
cholesterol,insulin,risk
cholesterol,igf,risk
cholesterol,growth,risk
cholesterol,period,risk
cholesterol,sugar,risk
blood,liver,risk
blood,bile,risk
blood,intestine,risk
blood,digestion,risk
blood,absorption,risk
blood,vitamin,risk
blood,fat,risk
