role|type|frame
('the dam site', 'role', 0)|ARGM-LOC|the dam site where the river flows onto the Snake River Plain
('the river', 'role', 0)|ARG1|the dam site where the river flows onto the Snake River Plain
('onto the Snake River Plain', 'role', 0)|ARGM-DIR|the dam site where the river flows onto the Snake River Plain
('Teton Canyon', 'role', 0)|ARG1|Teton Canyon ends about six miles below the dam site where the river flows onto the Snake River Plain
('about six miles below the dam site where the river flows onto the Snake River Plain', 'role', 0)|ARGM-LOC|Teton Canyon ends about six miles below the dam site where the river flows onto the Snake River Plain
('When', 'role', 1)|ARGM-TMP|When the dam failed
('the dam', 'role', 1)|ARG1|When the dam failed
('When the dam failed', 'role', 1)|ARGM-TMP|When the dam failed the flood struck several communities immediately downstream particularly Wilford at the terminus of the canyon Sugar City Salem Hibbard and Rexburg
('the flood', 'role', 1)|ARG0|When the dam failed the flood struck several communities immediately downstream particularly Wilford at the terminus of the canyon Sugar City Salem Hibbard and Rexburg
('several communities immediately downstream particularly Wilford at the terminus of the canyon Sugar City Salem Hibbard and Rexburg', 'role', 1)|ARG1|When the dam failed the flood struck several communities immediately downstream particularly Wilford at the terminus of the canyon Sugar City Salem Hibbard and Rexburg
('Thousands of homes and businesses', 'role', 2)|ARG1|Thousands of homes and businesses destroyed
('The small agricultural communities of Wilford and Sugar City', 'role', 3)|ARG1|The small agricultural communities of Wilford and Sugar City wiped from the river bank
('from the river bank', 'role', 3)|ARG2|The small agricultural communities of Wilford and Sugar City wiped from the river bank
('the eleven deaths', 'role', 4)|ARG1|the eleven deaths attributed to the flood
('to the flood', 'role', 4)|ARG2|the eleven deaths attributed to the flood
('Five of the eleven deaths attributed to the flood', 'role', 4)|ARG1|Five of the eleven deaths attributed to the flood occurred in Wilford
('in Wilford', 'role', 4)|ARGM-LOC|Five of the eleven deaths attributed to the flood occurred in Wilford
('The similar community of Teton on the south bank of the river', 'role', 5)|ARG1|The similar community of Teton on the south bank of the river largely spared
('largely', 'role', 5)|ARGM-EXT|The similar community of Teton on the south bank of the river largely spared
('One Teton resident', 'role', 6)|ARG1|One Teton resident drowned
('on the river', 'role', 6)|ARGM-LOC|One Teton resident fishing on the river at the time of the dam failure
('at the time of the dam failure', 'role', 6)|ARGM-TMP|One Teton resident fishing on the river at the time of the dam failure
('drowned', 'role', 6)|ARG2|One Teton resident was drowned
('An elderly woman', 'role', 7)|ARG0|An elderly woman living in the city of Teton
('in the city of Teton', 'role', 7)|ARGM-LOC|An elderly woman living in the city of Teton
('An elderly woman living in the city of Teton', 'role', 7)|ARG1|An elderly woman living in the city of Teton died as a result of the evacuation
('as a result of the evacuation', 'role', 7)|ARGM-CAU|An elderly woman living in the city of Teton died as a result of the evacuation
('structures', 'role', 8)|ARG1|existing structures
('One estimate', 'role', 8)|ARG0|One estimate placed damage to Hibbard and Rexburg area with a population of about 10 000 at 80 % of existing structures
('damage', 'role', 8)|ARG1|One estimate placed damage to Hibbard and Rexburg area with a population of about 10 000 at 80 % of existing structures
('to Hibbard and Rexburg area with a population of about 10 000 at 80 % of existing structures', 'role', 8)|ARG2|One estimate placed damage to Hibbard and Rexburg area with a population of about 10 000 at 80 % of existing structures
('The Teton River', 'role', 9)|ARG1|The Teton River flows through the industrial commercial and residential districts of north Rexburg
('through the industrial commercial and residential districts of north Rexburg', 'role', 9)|ARGM-DIR|The Teton River flows through the industrial commercial and residential districts of north Rexburg
('When', 'role', 11)|ARGM-TMP|When the flood waters hit
('the flood waters', 'role', 11)|ARG0|When the flood waters hit
('When the flood waters hit', 'role', 11)|ARGM-TMP|When the flood waters hit thousands of logs washed into town
('thousands of logs', 'role', 11)|ARG1|When the flood waters hit thousands of logs washed into town
('into town', 'role', 11)|ARG4|When the flood waters hit thousands of logs washed into town
('Dozens of logs', 'role', 12)|ARG0|Dozens of logs hit a bulk gasoline storage tank a few hundred yards away
('a bulk gasoline storage tank', 'role', 12)|ARG1|Dozens of logs hit a bulk gasoline storage tank a few hundred yards away
('a few hundred yards away', 'role', 12)|ARGM-LOC|Dozens of logs hit a bulk gasoline storage tank a few hundred yards away
('The gasoline', 'role', 13)|ARG0|The gasoline sent flaming slicks adrift on the racing water
('flaming slicks', 'role', 13)|ARG1|The gasoline sent flaming slicks adrift on the racing water
('adrift', 'role', 13)|ARG2|The gasoline sent flaming slicks adrift on the racing water
('on the racing water', 'role', 13)|ARGM-DIR|The gasoline sent flaming slicks adrift on the racing water
('lumber', 'role', 14)|ARG1|cut lumber
('The force of the logs and cut lumber and the subsequent fires', 'role', 14)|ARG0|The force of the logs and cut lumber and the subsequent fires practically destroyed the city
('practically', 'role', 14)|ARGM-ADV|The force of the logs and cut lumber and the subsequent fires practically destroyed the city
('the city', 'role', 14)|ARG1|The force of the logs and cut lumber and the subsequent fires practically destroyed the city
('The flood waters', 'role', 15)|ARG0|The flood waters traveled west along the route of the Henrys Fork of the Snake River around both sides of the Menan Buttes significantly damaging the community of Roberts
('significantly', 'role', 15)|ARGM-EXT|The flood waters significantly damaging the community of Roberts
('the community of Roberts', 'role', 15)|ARG1|The flood waters significantly damaging the community of Roberts
('west along the route of the Henrys Fork of the Snake River around both sides of the Menan Buttes', 'role', 15)|ARG1|The flood waters traveled west along the route of the Henrys Fork of the Snake River around both sides of the Menan Buttes significantly damaging the community of Roberts
('significantly damaging the community of Roberts', 'role', 15)|ARGM-ADV|The flood waters traveled west along the route of the Henrys Fork of the Snake River around both sides of the Menan Buttes significantly damaging the community of Roberts
('time', 'role', 16)|ARGM-TMP|time prepare
('The city of Idaho Falls even further down on the flood plain', 'role', 16)|ARG0|The city of Idaho Falls even further down on the flood plain had time to prepare
('time to prepare', 'role', 16)|ARG1|The city of Idaho Falls even further down on the flood plain had time to prepare
