role|type|frame|ratio|ratio_frame|risk|risk_ratio
('the dam site', 'role', 0)|ARGM-LOC|the dam site where the river flows onto the Snake River Plain|0.049349594861269|0.00292953965254128|flood strike|[-0.07556439]
('the river', 'role', 0)|ARG1|the dam site where the river flows onto the Snake River Plain|0.6954548358917236|0.00292953965254128|flood strike|[-0.07556439]
('onto the Snake River Plain', 'role', 0)|ARGM-DIR|the dam site where the river flows onto the Snake River Plain|0.1371792107820511|0.00292953965254128|flood strike|[-0.07556439]
('Teton Canyon', 'role', 0)|ARG1|Teton Canyon ends about six miles below the dam site where the river flows onto the Snake River Plain|0.02248006872832775|0.07568003982305527|flood strike|[-0.19497266]
('about six miles below the dam site where the river flows onto the Snake River Plain', 'role', 0)|ARGM-LOC|Teton Canyon ends about six miles below the dam site where the river flows onto the Snake River Plain|0.08239440619945526|0.07568003982305527|flood strike|[-0.19497266]
('When', 'role', 1)|ARGM-TMP|When the dam failed|0.04456418752670288|0.6932790875434875|flood strike|[0.99530562]
('the dam', 'role', 1)|ARG1|When the dam failed|0.08280716836452484|0.6932790875434875|flood strike|[0.99530562]
('When the dam failed', 'role', 1)|ARGM-TMP|When the dam failed the flood struck several communities immediately downstream particularly Wilford at the terminus of the canyon Sugar City Salem Hibbard and Rexburg|0.6932790875434875|0.998113751411438|flood strike|[0.97298056]
('the flood', 'role', 1)|ARG0|When the dam failed the flood struck several communities immediately downstream particularly Wilford at the terminus of the canyon Sugar City Salem Hibbard and Rexburg|0.941023051738739|0.998113751411438|flood strike|[0.97298056]
('several communities immediately downstream particularly Wilford at the terminus of the canyon Sugar City Salem Hibbard and Rexburg', 'role', 1)|ARG1|When the dam failed the flood struck several communities immediately downstream particularly Wilford at the terminus of the canyon Sugar City Salem Hibbard and Rexburg|0.24215759336948395|0.998113751411438|flood strike|[0.97298056]
('Thousands of homes and businesses', 'role', 2)|ARG1|Thousands of homes and businesses destroyed|0.3759611248970032|0.4610143303871155|flood strike|[0.48985113]
('The small agricultural communities of Wilford and Sugar City', 'role', 3)|ARG1|The small agricultural communities of Wilford and Sugar City wiped from the river bank|0.02845824509859085|0.3828446865081787|flood strike|[0.92925183]
('from the river bank', 'role', 3)|ARG2|The small agricultural communities of Wilford and Sugar City wiped from the river bank|0.49607181549072266|0.3828446865081787|flood strike|[0.92925183]
('the eleven deaths', 'role', 4)|ARG1|the eleven deaths attributed to the flood|0.11469629406929016|0.8986935019493103|flood strike|[0.15769253]
('to the flood', 'role', 4)|ARG2|the eleven deaths attributed to the flood|0.9483030438423157|0.8986935019493103|flood strike|[0.15769253]
('Five of the eleven deaths attributed to the flood', 'role', 4)|ARG1|Five of the eleven deaths attributed to the flood occurred in Wilford|0.8684973120689392|0.8424884676933289|flood strike|[0.2353949]
('in Wilford', 'role', 4)|ARGM-LOC|Five of the eleven deaths attributed to the flood occurred in Wilford|0.24469445645809174|0.8424884676933289|flood strike|[0.2353949]
('The similar community of Teton on the south bank of the river', 'role', 5)|ARG1|The similar community of Teton on the south bank of the river largely spared|0.0729164183139801|0.017580408602952957|flood strike|[-0.18814313]
('largely', 'role', 5)|ARGM-EXT|The similar community of Teton on the south bank of the river largely spared|0.06297868490219116|0.017580408602952957|flood strike|[-0.18814313]
('One Teton resident', 'role', 6)|ARG1|One Teton resident drowned|0.008035221137106419|0.42147254943847656|flood strike|[0.43636847]
('on the river', 'role', 6)|ARGM-LOC|One Teton resident fishing on the river at the time of the dam failure|0.7306604981422424|0.19878023862838745|flood strike|[0.92428102]
('at the time of the dam failure', 'role', 6)|ARGM-TMP|One Teton resident fishing on the river at the time of the dam failure|0.1537570357322693|0.19878023862838745|flood strike|[0.92428102]
('drowned', 'role', 6)|ARG2|One Teton resident was drowned|0.8463612794876099|0.3825676143169403|flood strike|[0.23828546]
('An elderly woman', 'role', 7)|ARG0|An elderly woman living in the city of Teton|0.005070261657238007|0.01145983301103115|flood strike|[-0.10973457]
('in the city of Teton', 'role', 7)|ARGM-LOC|An elderly woman living in the city of Teton|0.060360830277204514|0.01145983301103115|flood strike|[-0.10973457]
('An elderly woman living in the city of Teton', 'role', 7)|ARG1|An elderly woman living in the city of Teton died as a result of the evacuation|0.01145983301103115|0.06707713752985|flood strike|[0.60194837]
('as a result of the evacuation', 'role', 7)|ARGM-CAU|An elderly woman living in the city of Teton died as a result of the evacuation|0.003842532867565751|0.06707713752985|flood strike|[0.60194837]
('structures', 'role', 8)|ARG1|existing structures|0.0010113798780366778|0.0005771313444711268|flood strike|[-0.24048115]
('One estimate', 'role', 8)|ARG0|One estimate placed damage to Hibbard and Rexburg area with a population of about 10 000 at 80 % of existing structures|0.015858067199587822|0.3672548830509186|flood strike|[0.2130442]
('damage', 'role', 8)|ARG1|One estimate placed damage to Hibbard and Rexburg area with a population of about 10 000 at 80 % of existing structures|0.3182515799999237|0.3672548830509186|flood strike|[0.2130442]
('to Hibbard and Rexburg area with a population of about 10 000 at 80 % of existing structures', 'role', 8)|ARG2|One estimate placed damage to Hibbard and Rexburg area with a population of about 10 000 at 80 % of existing structures|0.04866289347410202|0.3672548830509186|flood strike|[0.2130442]
('The Teton River', 'role', 9)|ARG1|The Teton River flows through the industrial commercial and residential districts of north Rexburg|0.22283044457435608|0.17169883847236633|flood strike|[-0.50831028]
('through the industrial commercial and residential districts of north Rexburg', 'role', 9)|ARGM-DIR|The Teton River flows through the industrial commercial and residential districts of north Rexburg|0.016150878742337227|0.17169883847236633|flood strike|[-0.50831028]
('When', 'role', 11)|ARGM-TMP|When the flood waters hit|0.04456418752670288|0.9990946054458618|flood strike|[0.04089826]
('the flood waters', 'role', 11)|ARG0|When the flood waters hit|0.9499320983886719|0.9990946054458618|flood strike|[0.04089826]
('When the flood waters hit', 'role', 11)|ARGM-TMP|When the flood waters hit thousands of logs washed into town|0.9990946054458618|0.9763264060020447|flood strike|[-0.09195265]
('thousands of logs', 'role', 11)|ARG1|When the flood waters hit thousands of logs washed into town|0.013103567995131016|0.9763264060020447|flood strike|[-0.09195265]
('into town', 'role', 11)|ARG4|When the flood waters hit thousands of logs washed into town|0.020743366330862045|0.9763264060020447|flood strike|[-0.09195265]
('Dozens of logs', 'role', 12)|ARG0|Dozens of logs hit a bulk gasoline storage tank a few hundred yards away|0.02605464681982994|0.026781389489769936|flood strike|[0.1697172]
('a bulk gasoline storage tank', 'role', 12)|ARG1|Dozens of logs hit a bulk gasoline storage tank a few hundred yards away|0.0004802061303053051|0.026781389489769936|flood strike|[0.1697172]
('a few hundred yards away', 'role', 12)|ARGM-LOC|Dozens of logs hit a bulk gasoline storage tank a few hundred yards away|0.11728870123624802|0.026781389489769936|flood strike|[0.1697172]
('The gasoline', 'role', 13)|ARG0|The gasoline sent flaming slicks adrift on the racing water|0.002879963256418705|0.03213954716920853|flood strike|[0.76759258]
('flaming slicks', 'role', 13)|ARG1|The gasoline sent flaming slicks adrift on the racing water|0.023702865466475487|0.03213954716920853|flood strike|[0.76759258]
('adrift', 'role', 13)|ARG2|The gasoline sent flaming slicks adrift on the racing water|0.0355927012860775|0.03213954716920853|flood strike|[0.76759258]
('on the racing water', 'role', 13)|ARGM-DIR|The gasoline sent flaming slicks adrift on the racing water|0.11523894220590591|0.03213954716920853|flood strike|[0.76759258]
('lumber', 'role', 14)|ARG1|cut lumber|0.0020241010934114456|0.0004603620618581772|flood strike|[-0.32226511]
('The force of the logs and cut lumber and the subsequent fires', 'role', 14)|ARG0|The force of the logs and cut lumber and the subsequent fires practically destroyed the city|0.0010621490655466914|0.0007044629310257733|flood strike|[0.87686424]
('practically', 'role', 14)|ARGM-ADV|The force of the logs and cut lumber and the subsequent fires practically destroyed the city|0.13537685573101044|0.0007044629310257733|flood strike|[0.87686424]
('the city', 'role', 14)|ARG1|The force of the logs and cut lumber and the subsequent fires practically destroyed the city|0.003700018161907792|0.0007044629310257733|flood strike|[0.87686424]
('The flood waters', 'role', 15)|ARG0|The flood waters traveled west along the route of the Henrys Fork of the Snake River around both sides of the Menan Buttes significantly damaging the community of Roberts|0.9390179514884949|0.963295578956604|flood strike|[0.23582718]
('significantly', 'role', 15)|ARGM-EXT|The flood waters significantly damaging the community of Roberts|0.07833412289619446|0.9446910619735718|flood strike|[0.11961655]
('the community of Roberts', 'role', 15)|ARG1|The flood waters significantly damaging the community of Roberts|0.011297859251499176|0.9446910619735718|flood strike|[0.11961655]
('west along the route of the Henrys Fork of the Snake River around both sides of the Menan Buttes', 'role', 15)|ARG1|The flood waters traveled west along the route of the Henrys Fork of the Snake River around both sides of the Menan Buttes significantly damaging the community of Roberts|0.07343034446239471|0.963295578956604|flood strike|[0.23582718]
