word|type|role
August|noun|susc
flood|noun|susc
estimate|noun|susc
canyon|noun|susc
force|noun|susc
Rexburg|noun|susc
Wilford|noun|susc
Hibbard|noun|susc
community|noun|susc
Roberts|noun|susc
side|noun|susc
death|noun|susc
Henrys|noun|susc
route|noun|susc
area|noun|susc
damage|noun|susc
%|noun|susc
structure|noun|susc
water|noun|susc
thousand|noun|susc
log|noun|susc
ten|noun|susc
turbine|noun|susc
level|noun|susc
ceiling|noun|susc
vibration|noun|susc
hall|noun|susc
room|noun|susc
storage|noun|susc
gasoline|noun|susc
yard|noun|susc
dozen|noun|susc
fire|noun|susc
slick|noun|susc
sediment|noun|susc
hour|noun|susc
impact|noun|susc
station|noun|susc
power|noun|susc
point|noun|susc
