s_word|s_type|s_role|t_word|t_type|t_role
airplane|noun|object|engine|noun|vulnerability
airplane|noun|object|aircraft|noun|vulnerability
airplane|noun|object|turbine|noun|vulnerability
airplane|noun|object|gas|noun|vulnerability
airplane|noun|object|ATF|noun|vulnerability
airplane|noun|object|type|noun|vulnerability
airplane|noun|object|fuel|noun|vulnerability
airplane|noun|object|aviation|noun|vulnerability
airplane|noun|object|use|noun|vulnerability
fuel|noun|object|droplet|noun|vulnerability
inlet|noun|object|droplet|noun|vulnerability
pipe|noun|object|droplet|noun|vulnerability
fuel|noun|object|spark|noun|vulnerability
droplet|noun|object|vapour|noun|vulnerability
surface|noun|object|vapour|noun|vulnerability
water|noun|object|vapour|noun|vulnerability
droplet|noun|object|water|noun|vulnerability
droplet|noun|object|temperature|noun|vulnerability
droplet|noun|object|altitude|noun|vulnerability
vapour|noun|object|water|noun|vulnerability
surface|noun|object|water|noun|vulnerability
vapour|noun|object|temperature|noun|vulnerability
water|noun|object|temperature|noun|vulnerability
vapour|noun|object|altitude|noun|vulnerability
water|noun|object|altitude|noun|vulnerability
inlet|noun|object|pipe|noun|vulnerability
pipe|noun|object|inlet|noun|vulnerability
