source,target,label
aviation,airplane,risk
fuel,airplane,risk
fuel,inlet,risk
fuel,pipe,risk
type,airplane,risk
engine,airplane,risk
inlet,airplane,risk
inlet,fuel,risk
inlet,pipe,risk
pipe,airplane,risk
pipe,inlet,risk
pipe,fuel,risk
droplet,airplane,risk
droplet,inlet,risk
droplet,fuel,risk
droplet,pipe,risk
surface,airplane,risk
surface,inlet,risk
surface,fuel,risk
surface,pipe,risk
spark,airplane,risk
spark,inlet,risk
spark,fuel,risk
spark,pipe,risk
water,airplane,risk
water,inlet,risk
water,fuel,risk
water,pipe,risk
water,droplet,risk
altitude,airplane,risk
altitude,inlet,risk
altitude,fuel,risk
altitude,pipe,risk
altitude,vapour,risk
altitude,droplet,risk
altitude,water,risk
temperature,airplane,risk
temperature,inlet,risk
temperature,fuel,risk
temperature,pipe,risk
temperature,vapour,risk
temperature,droplet,risk
temperature,water,risk
vapour,airplane,risk
vapour,inlet,risk
vapour,fuel,risk
vapour,pipe,risk
vapour,water,risk
vapour,droplet,risk
